a,啊嗄阿
shuai,卛帅帥摔衰
shuan,拴栓
shuang,双塽孀孇慡爽霜
shui,帨水睡税谁
shun,吮瞬顺
shuo,哾妁烁硕说
si,丝亖佀価俬儩兕凘厮厶司咝嗣嘶噝四姒娰媤孠寺巳廝思恖撕死私饲
song,倯傱凇娀宋崧嵩嵷庺忪怂悚愯慫憽松耸诵送颂
sou,傁凁叜叟嗖嗽嗾廀廋捜搜
su,俗傃僳嗉囌塐塑夙嫊宿愫愬憟素肃苏诉速酥
suan,匴算蒜酸
sui,亗倠哸埣夊嬘岁嵗碎穗遂随隧髓
sun,孙孫损笋
suo,乺傞唆唢嗍嗦嗩娑惢所索缩锁
ta,他侤咜嚃嚺塌塔墖她它崉挞踏
tai,儓冭台囼坮太夳嬯孡忲态態抬泰胎苔
tan,倓傝僋叹嗿嘆坍坛坦埮墰墵壇壜婒忐怹惔憛憳憻探摊毯碳谈贪
tang,伖倘偒傏傥儻劏唐啺嘡坣堂塘帑戃汤烫糖膛躺
tao,匋咷啕夲套嫍幍弢慆掏桃涛淘讨逃陶
te,忑忒慝特
teng,儯幐疼腾藤
ti,体倜偍剃剔厗啼嗁嚏嚔屉屜崹徲悌悐惕惖惿戻挮掦提揥替梯踢题
tian,倎兲唺塡填天婖屇忝恬悿掭添甜田
tiao,佻嬥宨岧岹庣恌挑条跳
tie,僣呫帖怗贴铁
ting,亭侹停厅厛听圢娗婷嵉庁庭廰廳廷挺
tong,仝佟僮勭同哃嗵囲峂峝庝彤恸慟憅捅桶痛童筒统通铜
tou,亠偷偸头妵婾媮投透
tu,兎兔凃凸吐唋図图圕圖圗土圡堍堗塗宊屠峹嵞嶀庩廜徒怢悇捈捸揬涂突途
tuan,剸团団團彖慱抟湍
tui,侻俀僓娧尵弚推腿蜕退
tun,吞呑啍噋坉屯忳
tuo,乇仛佗侂咃唾坨堶妥媠嫷岮庹彵托扡拓拕拖挩捝脱驼
wa,佤劸咓哇嗗嗢娃娲媧屲挖瓦蛙袜
wai,喎外夞崴歪
wan,万丸倇刓剜卍卐唍埦塆壪妧婉婠完宛岏帵弯彎忨惋抏挽捖捥晚玩碗腕
wang,亡亾仼兦妄尣尩尪尫彺往徃徍忘惘旺望汪王网
wei,为亹伟伪位偉偎偽僞儰卫危厃叞味唯喂喡喴囗围圍圩墛壝委威娓媁媙媦寪尉尾屗峗峞崣嵔嵬嶶巍帏帷幃徫微惟愄愇慰懀捤揋揻未维胃违韦
wen,刎匁吻呚呡問塭妏彣忟抆揾文温稳纹蚊问闻
weng,勜嗡塕奣嵡翁
wo,仴倭偓卧唩婐媉幄我挝捰捾握沃涡窝
